ASIN,Band Color,Band Material,Band size,Band width,Batteries,Bezel function,Bezel material,Brand Seller or Collection Name,Calendar,Case Thickness,Case diameter,Case material,Clasp,Country of Origin,Date First Available,Department,Dial color,Dial window material type,Display Type,Domestic Shipping,Height,International Shipping,Is Discontinued By Manufacturer,Item Length,Item Shape,Item model number,Item weight,Language,Length,Manufacturer,Manufacturer recommended age,Material,Metal,Metal stamp,Model Year,Model number,Movement,Package Dimensions,Part Number,Product Dimensions,Product Warranty,Special features,Water pressure resistance,Water resistant depth,Width,review,price
B01E45GMMQ,Beige,Resin,9.25 inches,30 millimeters,1 CR2 batteries required. (included,Stationary,Stainless Steel,CASIO,Day-Date-Month,15 millimeters,5.2 centimeters,Resin,Buckle,,20160411,Unisex-adult,Black,Mineral,Analog-Digital,,,,No,,Round,GG1000-1A5,3.2 Ounces,,,Paradox,,,,no-metal-stamp,2020,GG1000-1A5,Quartz,,GG-1000-1A5CR,3.2 Ounces,"For warranty information about this product%please <a href=""/gp/feature.html/ref=dp_warranty_request_3P?docId=1002406021"" target=""_blank"">click here</a",Second hand,,660 Feet,,4.6,215.1
B08HVT93TG,Black,Resin,Mens Standard,20 millimeters,1 A batteries required,Stationary,Stainless Steel,G-Shock,Date,16.9 millimeters,48.8 millimeters,Stainless Steel,Tang Buckle,,20200911,Mens,Silver,Mineral Glass,Analog-Digital,,,,,,Round,GM110-1A,6 Ounces,,,G-Shock,,,,no-metal-stamp,,GM110-1A,Japanese Quartz,,GM110-1A,8 x 5 x 5 inches; 6 Ounces,"For warranty information about this product%please <a href=""/gp/feature.html/ref=dp_warranty_request_3P?docId=1002406021"" target=""_blank"">click here</a",World Time,,200 Meters,,4.5,
B07GMRV4HV,Gold,Stainless Steel,Mens Standard,20 millimeters,1 Product Specific batteries required. (included,Unidirectional,Stainless Steel,Invicta,Date,12.5 millimeters,40 millimeters,Stainless Steel,Fold-over-clasp-with-safety,Japan,20180830,Mens,Black,Flame Fusion,Analog,,,,,,Round,Gold,8.82 Ounces,,,Invicta,,,,,2023,Gold,Quartz,,26975,4.72 x 4.72 x 4.72 inches; 8.82 Ounces,,,,200 Meters,,4.6,55.12
B00284ADAI,Black,Resin,8 Inches,20 millimeters,1 Lithium Ion batteries required. (included,Stationary,Resin,Casio,Day-Date-Month,15 millimeters,41 millimeters,Stainless Steel,Buckle,China,20120706,Unisex-adult,Black,Mineral,Digital,,,,No,,Round,GW-6900-1CR,2.24 Ounces,,,Casio,,,,,2020,GW-6900-1CR,Japanese Quartz,,GW6900-1,1.97 x 0.7 x 2.09 inches; 2.24 Ounces,,Alarm%World Time%Timer,,660 Feet,,4.7,98.95
B0094BKAWO,Black,Resin,Mens Standard,16.6 millimeters,1 CR2 batteries required. (included,Stationary,Resin,Casio,Day-Date-Month,5.7 centimeters,46 millimeters,Resin,Buckle,China,20121109,Mens,Gray,Mineral,Digital,,,,No,,Round,GW-M500A-1CR,10 Grams,,,Casio,,,,,2013,GW-M500A-1CR,Quartz,,GWM500A-1,2.23 x 1.81 x 0.65 inches; 0.35 Ounces,,Alarm%Atomic Time%World Time&nbsp,,660 Feet,,4.7,74.99
B0843G918F,Gold,Stainless Steel,Mens Standard,22 millimeters,1 Lithium Metal batteries required. (included,Stationary,Stainless Steel,GUESS,Day-Date,11 millimeters,45 millimeters,Stainless Steel,Push Button Deployment Clasp,China,20200122,Mens,Black,Mineral,Analog,,,,,,Round,GW0068G3,7.84 Ounces,,,GUESS,,,,,,GW0068G3,Quartz,,GW0068G3,13 x 10 x 5 inches; 7.84 Ounces,,Second Hand,,50 Meters,,4.6,95.53
B09TS4J6FQ,Rose Gold,Stainless Steel,Womens Standard,23.5 millimeters,,Stationary,Stainless Steel,GUESS,No Calendar,12.4 millimeters,39 millimeters,Stainless Steel,Double Locking Foldover Clasp,Japan,20220302,Womens,Clear,Mineral Glass,Analog,,,,,,Round,GW0302L4,4.96 Ounces,,,Timex Group,,,,,,GW0302L4,Japanese Quartz,3.66 x 3.62 x 3.31 inches; 4.96 Ounces,GW0302L4,,,Water Resistance 100 Feet,,30 Meters,,4.6,124.16
B09CSSFSSS,Silver,Stainless Steel,Womens Standard,18 millimeters,1 Lithium Metal batteries required. (included,Stationary,Stainless Steel,GUESS,No Calendar,10.9 millimeters,36 millimeters,Stainless Steel,Deployment Clasp,China,20210817,Womens,Silver,Mineral Glass,Analog,,,,,,Round,GW0320L1,7.84 Ounces,,,GUESS,,,,,,GW0320L1,Quartz,,GW0320L1,3.15 x 3.54 x 3.54 inches; 7.84 Ounces,,Water Resistant,,30 Meters,,4.5,99.21
B09B7CWSNS,Black,Silicone,Mens Standard,22 millimeters,1 Lithium Metal batteries required. (included,Stationary,Stainless Steel,GUESS,Day-Date-Month,10.9 millimeters,46 millimeters,Stainless Steel,Toggle Clasp,China,20210726,Mens,Black,Mineral Glass,Analog,,,,,,Round,GW0334G2,3.74 Ounces,,,GUESS,,,,,,GW0334G2,Quartz,,GW0334G2,4.72 x 3.94 x 3.94 inches; 3.74 Ounces,,Water Resistant,,100 Meters,,4.3,135
B007RWZHXO,Black,Resin,8 Inches,26 millimeters,1 Lithium Metal batteries required. (included,Stationary,Resin,Casio,Day-Date-Month,43.2 millimeters,46.7 millimeters,Resin,Buckle,Thailand,20120502,Mens,Gray,Mineral,Digital,Currently%item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments%please check with the manufacturer regarding warranty and support issues,,"This item can be shipped to select countries outside of the U.S.  <a href=""/gp/help/customer/display.html/ref=help_search_1-1?nodeId=201117930"" target=""InternationalShippingDetails"">Learn More</a",No,,Square,GWM5610-1,2.08 Ounces,,,Casio,,,,,2011,GWM5610-1,Automatic,,GWM5610-1CR,0.5 x 1.7 x 1.84 inches; 2.08 Ounces,,Timer%World Time,,660 Feet,,4.8,91.99
B000GX6SSO,Silver,Stainless Steel,Womens,12 millimeters,1 Lithium Metal batteries required. (included,Unidirectional,Black-And-Gold-Tone-Stainless-Steel,Invicta,Date,11 millimeters,25 millimeters,Stainless Steel,Fold-Over Clasp with Safety,Japan,20080114,Womens,Black,Mineral,Analog,,,,No,,Round,INVICTA-8941,13.33 Ounces,,,Invicta,,,,316L,2018,INVICTA-8941,Japanese Quartz,,8941,5.91 x 5.91 x 5.91 inches; 13.33 Ounces,,Water Resistant,,660 Feet,,4.6,69.81
B000GX3ILO,Silver,Stainless Steel,170 mm,12 millimeters,1 CR2 batteries required. (included,Unidirectional,Stainless Steel,Invicta,Date,10 millimeters,26 millimeters,Stainless Steel,Fold-Over Clasp with Safety,Japan,20060404,Womens,Blue,Mineral,Analog,,,,No,,Round,INVICTA-8942,8.82 Ounces,,,Invicta,,,,,2014,INVICTA-8942,Japanese Quartz,,8942,3.54 x 4.49 x 3.86 inches; 8.82 Ounces,,Water resistant,,100 Meters,,4.6,56.02
